// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).


0,12710,10
0,5372,1000
0,5380,4000
0,2269,5000
0,2270,5000
0,5107,1500
0,5657,2000
0,5403,800
0,5362,2300
7,12710,10
4,5362,2300
4,5403,800
4,5372,1000
4,5380,4000
4,5382,4000
4,2269,5000
4,2270,5000
4,5107,1500
4,5110,1500
4,2247,3000
4,5206,1000
4,2245,3000
4,2286,3500
4,2296,1500
4,2258,4500
4,5161,2000
4,5104,4000
4,2295,2000
4,5026,3000
4,5032,1000
4,5038,3000
4,5229,6500
4,5227,6500
4,5228,6500
4,5198,5000
4,5058,3000
4,5253,8000
4,5252,6000
4,5296,1000
4,5231,3000
4,5232,3000
4,5233,3000
4,5230,3000
4,5234,3000
4,5076,5000
4,5059,1000
4,5235,7500
4,5236,7500
4,5237,7500
4,5293,1500
4,5303,3500
4,5304,6500
4,5312,6500
4,5315,4500
4,5317,4500
4,5319,7500
4,5320,1200
4,5323,5888
4,5336,5000
4,5337,5000
4,5338,5000
4,5339,5000
4,5346,5000
4,5181,3000
4,5102,5000
4,5016,7500
4,5349,1500
4,5013,7000
4,5022,5000
4,5171,1250
4,5135,5000
4,5029,5000
4,5033,6500
4,5040,1000
4,5047,3500
4,5065,6500
4,5068,5000
4,5074,5000
4,5084,7500
4,5086,1500
4,5108,3500
4,5121,1000
4,5133,5000
4,5137,1000
4,5138,1500
4,5140,5500
4,5146,7500
4,5151,7500
4,5152,1500
4,5170,1500
4,5173,7500
4,5174,7500
4,5175,7500
4,5184,5000
4,5185,4500
4,5187,7500
4,5188,5000
4,5191,2500
4,5192,2500
4,5193,2500
4,5194,2500
4,5195,2500
4,5196,2500
4,5197,2500
4,5200,7500
4,5205,1000
4,5211,7500
4,5226,5000
4,5238,7500
4,5239,7500
4,5240,7500
4,5241,7500
4,5242,7500
4,5243,5000
4,5325,7500
4,5254,1000
4,5255,6500
4,5257,5000
4,5297,1000
4,2202,4500
4,5258,3500
4,5298,5000
4,5276,5000
4,5273,5000
4,5275,5000
4,5274,5000
4,5259,5000
4,5271,2500
4,5272,5000
4,5284,5000
4,5286,7500
4,5288,5000
4,5289,5000
4,5291,5500
4,5292,5500
4,5294,5500
4,5352,5000
4,5324,1000
4,5359,5000
4,5360,5000
4,5340,5000
4,5341,5000
4,5342,5000
4,5343,5000
4,5344,5000
4,5345,5000
4,5354,5000
4,5355,5000
4,5361,6500
4,5365,5000
4,5373,7500
4,5374,3500
4,5379,5000
4,5383,6000
4,5384,8888
4,5390,8888
4,5388,5000
4,5411,5000
4,5393,7500
4,5397,3500
4,5399,5000
4,5800,1750
4,5801,3000
4,5802,1500
4,5657,2000
